Source_Id,Target_Id,Type,Weight
23758,25360,Directed,5
26912,25444,Directed,5
43324,26240,Directed,5
17670,26715,Directed,5
32611,26863,Directed,5
8954,26951,Directed,5
8954,27218,Directed,5
23758,27308,Directed,5
23758,27768,Directed,5
42517,27777,Directed,5
1686,27864,Directed,5
42517,28195,Directed,5
43259,28322,Directed,5
43259,28338,Directed,5
17670,28576,Directed,5
25177,28696,Directed,5
43259,28811,Directed,5
17670,29434,Directed,5
36719,30141,Directed,5
24754,30958,Directed,5
32837,31104,Directed,5
8954,31149,Directed,5
32871,31458,Directed,5
42037,32167,Directed,5
13426,32171,Directed,5
43440,32194,Directed,5
9401,33702,Directed,5
23758,33807,Directed,5
42517,33949,Directed,5
43259,34969,Directed,5
33946,35059,Directed,5
39619,35066,Directed,5
32871,35432,Directed,5
3850,35434,Directed,5
32584,35638,Directed,5
32610,35708,Directed,5
34941,35762,Directed,5
42037,36003,Directed,5
39619,36521,Directed,5
40440,36588,Directed,5
43259,37222,Directed,5
1686,38407,Directed,5
25177,38690,Directed,5
39034,39034,Directed,5
43259,39232,Directed,5
23758,39735,Directed,5
42037,39753,Directed,5
14576,39844,Directed,5
42037,40289,Directed,5
41610,40430,Directed,5
8954,40484,Directed,5
42037,40523,Directed,5
32871,40545,Directed,5
40548,40548,Directed,5
1686,40558,Directed,5
40358,40562,Directed,5
36719,40572,Directed,5
32871,40648,Directed,5
33946,40659,Directed,5
32610,40724,Directed,5
32611,40733,Directed,5
43415,40743,Directed,5
32610,40881,Directed,5
25177,40888,Directed,5
32610,40933,Directed,5
43259,40941,Directed,5
1355,40965,Directed,5
1686,40978,Directed,5
41941,41012,Directed,5
17523,41035,Directed,5
32611,41046,Directed,5
32611,41115,Directed,5
42037,41123,Directed,5
42037,41132,Directed,5
35157,41148,Directed,5
43259,41165,Directed,5
42037,41172,Directed,5
32871,41189,Directed,5
32796,41273,Directed,5
1282,41277,Directed,5
36349,41284,Directed,5
32610,41289,Directed,5
32610,41294,Directed,5
8954,41311,Directed,5
25177,41332,Directed,5
32610,41370,Directed,5
42037,41394,Directed,5
41396,41396,Directed,5
8954,41398,Directed,5
3047,41429,Directed,5
32610,41510,Directed,5
32610,41514,Directed,5
14576,41529,Directed,5
42517,41585,Directed,5
32610,41640,Directed,5
42517,41661,Directed,5
25177,41701,Directed,5
42289,41725,Directed,5
32837,41858,Directed,5
1272,41965,Directed,5
32611,41999,Directed,5
32610,42059,Directed,5
36719,42120,Directed,5
42037,42130,Directed,5
8894,42147,Directed,5
42342,42147,Directed,5
42193,42193,Directed,5
3047,42201,Directed,5
14576,42228,Directed,5
39088,42233,Directed,5
42037,42267,Directed,5
42604,42303,Directed,5
42037,42305,Directed,5
32610,42320,Directed,5
12616,42324,Directed,5
42037,42359,Directed,5
42037,42378,Directed,5
32611,42379,Directed,5
43115,42380,Directed,5
32610,42425,Directed,5
32611,42437,Directed,5
8954,42471,Directed,5
42504,42504,Directed,5
36719,42535,Directed,5
32610,42597,Directed,5
32871,42639,Directed,5
23758,42661,Directed,5
39619,42672,Directed,5
2539,42732,Directed,5
32611,42751,Directed,5
23758,42776,Directed,5
32611,42884,Directed,5
32611,42891,Directed,5
1610,42910,Directed,5
23758,42919,Directed,5
32610,42920,Directed,5
32610,42922,Directed,5
32610,42942,Directed,5
42517,42957,Directed,5
32611,42972,Directed,5
39088,43015,Directed,5
32610,43058,Directed,5
8954,43078,Directed,5
32611,43099,Directed,5
41610,43159,Directed,5
32611,43183,Directed,5
42037,43187,Directed,5
15531,43233,Directed,5
42037,43282,Directed,5
23758,43307,Directed,5
42037,43327,Directed,5
14576,43353,Directed,5
32610,43412,Directed,5
9011,43423,Directed,5
